provincia,DIA,SEMANA,vendedor,gestor_servicio,Cod Empresa,RazonSocial,Latitud,Longitud
SANTO DOMINGO,MIERCOLES,3,EDUARD CEBALLOS,JOSE,karaka1047,"PERLALBA COMERCIAL, SRL(VILLA MELLA)","18,5566","-69,9015"
SANTO DOMINGO,MIERCOLES,1,EDUARD CEBALLOS,JOSE,karaka1047,"PERLALBA COMERCIAL, SRL(VILLA MELLA)","18,5566","-69,9015"
SANCHEZ RAMIREZ,,,EDUARD CEBALLOS,JOSE,karaka1045,"PERLALBA COMERCIAL, SRL (MAIMON)","19,05254","-70,14863"
SANTO DOMINGO,MIERCOLES,1,EDUARD CEBALLOS,MANUEL,karaka412,"PELAEZ & TEJON,SRL","18,54574","-69,90039"
SANTO DOMINGO,MIERCOLES,1,EDUARD CEBALLOS,MANUEL,distribuidora2231,PELAEZ & TEJON,"18,54574","-69,90039"
SANTO DOMINGO,JUEVES,3,EDUARD CEBALLOS,EVELYN,distribuidora1831,NOVEDADES JIREH,"18,52628","-70,02717"
SANTO DOMINGO,JUEVES,3,EDUARD CEBALLOS,RYAN,karaka995,NOVEDADES JIREH,"18,52628","-70,02717"
SANTIAGO,,,EDUARD CEBALLOS,RYAN,karaka996,"MAXAR INTERCARIBE, SRL","19,49972","-70,65821"
DISTRITO NACIONAL,MIERCOLES,4,EDUARD CEBALLOS,JOSE,distribuidora3061,"MAX COMERCIAL, SRL.","18,48795","-69,89968"
DISTRITO NACIONAL,MIERCOLES,4,EDUARD CEBALLOS,JOSE,karaka816,"MAX COMERCIAL, SRL.","18,48795","-69,89968"
DISTRITO NACIONAL,LUNES,4,EDUARD CEBALLOS,DIOGENES,karaka1372,LISTO FERRETERIA MANUEL CORRIPIO,"18,47915139","-69,96457352"
DISTRITO NACIONAL,,,EDUARD CEBALLOS,EVELYN,distribuidora2567,MAGADAN & COMPAÃ‘IA,"18,57112","-70,09659"
SANTO DOMINGO,,,EDUARD CEBALLOS,EVELYN,karaka172,MAGADAN & COMPAÃ‘IA,"18,57112","-70,09659"
DISTRITO NACIONAL,,,EDUARD CEBALLOS,RYAN,distribuidora2190,LOSOM IMPORT,"18,48723","-69,89938"
SANTO DOMINGO,MIERCOLES,1,EDUARD CEBALLOS,MANUEL,karaka226,"LIVERPOOL ( PEREZLIZ, S.A.)","18,54729","-69,91646"
DISTRITO NACIONAL,JUEVES,3,EDUARD CEBALLOS,DIOGENES,karaka1172,LE PARC,"18,47306","-69,93032"
SANTO DOMINGO,LUNES,2,EDUARD CEBALLOS,EVELYN,karaka1310,LA ZONA,"18,52334","-70,03413"
DISTRITO NACIONAL,,,EDUARD CEBALLOS,RYAN,karaka470,LA CADENA,"18,47858","-69,9342"
SANTO DOMINGO,,,EDUARD CEBALLOS,JOSE,distribuidora1610,LA BENDICION DEL 20 Y 10(VILLA MELLA),"18,55603","-69,9029"
SANCHEZ RAMIREZ,,,EDUARD CEBALLOS,JOSE,distribuidora1348,LA BENDICION DEL 20 Y 10 FANTINO,"19,1229","-70,30172"
DISTRITO NACIONAL,LUNES,4,EDUARD CEBALLOS,JOSE,distribuidora2633,LA BENDICION DEL 20 Y 10 (OVANDO),"18,50553","-69,89729"
MONSEÃ‘OR NOUEL,,,EDUARD CEBALLOS,JOSE,distribuidora2216,LA BENDICION DEL 20 Y 10 (MAIMON),"19,80641","-70,78132"
DISTRITO NACIONAL,JUEVES,2,EDUARD CEBALLOS,JOSE,distribuidora2693,LA BENDICION DEL 20 Y 10 ( LOS RIOS),"18,48745","-69,96724"
SANTO DOMINGO,,,EDUARD CEBALLOS,JOSE,distribuidora2235,LA BENDICION DEL 20 Y 10  (LA PALMA1),"18,47345","-69,9905"
SANTO DOMINGO,,,EDUARD CEBALLOS,JOSE,distribuidora1521,LA BENDICION DEL 20 Y 10  (LA PALMA IV),"18,47345","-69,9905"
SANTO DOMINGO,,,EDUARD CEBALLOS,JOSE,distribuidora2200,LA BENDICION DEL 20 Y 10  (GUARICANO),"18,5554","-69,90428"
DISTRITO NACIONAL,,,EDUARD CEBALLOS,JOSE,distribuidora2137,LA BENDICION DEL 20 Y 10  ( CARR. MELLA),"18,50328","-69,85985"
MONSEÃ‘OR NOUEL,MARTES,4,EDUARD CEBALLOS,EVELYN,karaka1019,"INVERSIONES MAURIFEL, S.R.L.","18,47469","-69,92477"
DISTRITO NACIONAL,,,EDUARD CEBALLOS,JOSE,karaka545,INVERSIONES INMOBILIARIAS E Y D S.R.L. ( SM. CARIBE III),"18,43825","-69,95174"
SANTO DOMINGO,,,EDUARD CEBALLOS,JOSE,karaka1101,INVERSIONES ESPINAL MOQUETE AUTO IMPORT,"18,52818","-69,91076"
DISTRITO NACIONAL,MARTES,2,EDUARD CEBALLOS,DIOGENES,distribuidora2386,INKA ACCESORIOS (VILLA CONSUELO),"18,48826","-69,89484"
SANTIAGO,,,EDUARD CEBALLOS,JOSE,distribuidora2388,INKA  ACCESORIOS (SANTIAGO),"19,45189","-70,70256"
DISTRITO NACIONAL,,,EDUARD CEBALLOS,JOSE,distribuidora2871,INKA  ACCESORIOS (SAMBIL),"18,48223","-69,91157"
SANTO DOMINGO,LUNES,3,EDUARD CEBALLOS,DIOGENES,distribuidora2178,INKA  ACCESORIOS (MEGA CENTRO),"18,50621","-69,85655"
SANTO DOMINGO,MIERCOLES,3,EDUARD CEBALLOS,EVELYN,distribuidora2251,IMPORTADORA LEIDI,"18,55309","-69,91147"
SANTO DOMINGO,MIERCOLES,3,EDUARD CEBALLOS,EVELYN,karaka1020,IMPORTADORA LEIDI,"18,55309","-69,91147"
SANTO DOMINGO,MARTES,1,EDUARD CEBALLOS,EVELYN,distribuidora2957,IMPORTADORA EL BARATILLO,"18,50998","-69,86124"
SANTO DOMINGO,,,EDUARD CEBALLOS,RYAN,karaka106,HERMANOS PAPATERRA,"18,48027","-69,97982"
DISTRITO NACIONAL,MARTES,3,EDUARD CEBALLOS,MANUEL,karaka35,TEJON & CIA,"18,48292","-69,89158"
SANTO DOMINGO,MIERCOLES,1,EDUARD CEBALLOS,RYAN,karaka1130,GRUPO ALTERRA (FERREMIX) (R.C.) (SUPER MIX),"18,52982","-69,90766"
SANTO DOMINGO,MIERCOLES,1,EDUARD CEBALLOS,RYAN,karaka633,GRUPO ALTERRA (FERREMIX),"18,52982","-69,90766"
DISTRITO NACIONAL,JUEVES,3,EDUARD CEBALLOS,DIOGENES,distribuidora637,FLORISTERIA JULIVIOT,"18,4686","-69,89992"
SANTO DOMINGO,LUNES,2,EDUARD CEBALLOS,EVELYN,karaka1289,FLOREMCH IMPORTACIONES,"18,5122","-69,84738"
SANTO DOMINGO,LUNES,2,EDUARD CEBALLOS,RYAN,karaka1343,FERREZIRO,"18,51006","-69,87614"
SANTO DOMINGO,MARTES,3,EDUARD CEBALLOS,RYAN,karaka1130,GRUPO ALTERRA (FERREMIX) (R.C.) (SUPER MIX),"18,52982","-69,90766"
SANTO DOMINGO,MARTES,3,EDUARD CEBALLOS,RYAN,karaka633,GRUPO ALTERRA (FERREMIX),"18,52982","-69,90766"
DISTRITO NACIONAL,MARTES,3,EDUARD CEBALLOS,JOSE,distribuidora2265,FERRETERIA COMETA,"18,47574","-69,88974"
DISTRITO NACIONAL,MARTES,3,EDUARD CEBALLOS,JOSE,karaka128,FERRETERIA COMETA,"18,47574","-69,88974"
DISTRITO NACIONAL,VIERNES,4,EDUARD CEBALLOS,JOSE,KARAKA,"CADENAS CCN, GARRRIDO, OLE, SIRENA",,
SANTO DOMINGO,VIERNES,4,EDUARD CEBALLOS,KARAKA,KARAKA,GESTION DE COBRO / OFICINA,"18,47210397","-69,89392205"
SANTO DOMINGO,VIERNES,1,EDUARD CEBALLOS,KARAKA,KARAKA,GESTION DE COBRO / OFICINA,"18,47210397","-69,89392205"
SANTO DOMINGO,VIERNES,3,EDUARD CEBALLOS,KARAKA,KARAKA,GESTION DE COBRO / OFICINA,"18,47210397","-69,89392205"
DISTRITO NACIONAL,JUEVES,2,EDUARD CEBALLOS,JOSE,karaka589,ENCAJE LA ROSARIO,"18,47161","-69,94275"
SANTO DOMINGO,MARTES,1,EDUARD CEBALLOS,KARAKA,KARAKA,LEVANTAMIENTO DE AREA VZLA ALMA ROSA,"18,49498661","-69,85148255"
SANTO DOMINGO,LUNES,1,EDUARD CEBALLOS,KARAKA,KARAKA,LEVANTAMIENTO DE AREA CHARLES DE GAULLE,"18,52049452","-69,83697488"
